filename,page,image_url,source,status,notes
3384.jpg,https://artsandculture.google.com/asset/girls-ant%C3%B3no-quadros/SgH15LJrJtLuhA,https://lh3.googleusercontent.com/ci/AL18g_QNsFAK2YrDunuaOTqlzvJE0Iw55c_1ntpEVy2Gm1oIHHzkF9-fJrCUZztJ3L6zPUDiM56kuW8,og:image,ok,
11694.jpg,https://artsandculture.google.com/asset/sethu-lakshmi-bayi-wedding-portrait-n-n-nampiyar/XgEEDwB2pXy_sQ,https://lh3.googleusercontent.com/ci/AL18g_Q_0JSuPwdzwKvNWR8RemKQH6o5wUZkMbj_AT9HTNtpKy4KAbKVsG4jt7SW41h4MJs2-tD8SAM,og:image,ok,
5215.jpg,https://artsandculture.google.com/asset/dr-barbara-bray-paul-starns/GAEVYPe3luXERg,https://lh3.googleusercontent.com/ci/AL18g_QdnPbRphHPAOBqKdPbbpZIroFAZgvu00khztsdU4Y-PZAOiYRJoiI4C02Egi9NWz9yrmWl_ok,og:image,ok,
1245.jpg,https://artsandculture.google.com/asset/nhs-hero-rosanna-marshall-jackie-brown/SgEaJIUqRyxtog,https://lh3.googleusercontent.com/ci/AL18g_Ss33kknG7seOEs42Y-HTiPMRiSViltWbCQA6JM9LRkicZjzd7x7m26bD3La9x2tJep5YDR,og:image,ok,
1147.jpg,https://artsandculture.google.com/asset/st-martin-of-arr%C3%A1bida-unknown/BwElZHaRfqJTtQ,https://lh3.googleusercontent.com/ci/AL18g_TLbuSNVmu--836WUQPaojF0fmubtqVW-CS4nJZD8Mj2Ex4l7BKndVdsS-X8WGqWDlonmPQ7Ilu,og:image,ok,
3110.jpg,https://artsandculture.google.com/asset/crucifixion-1988-89-craigie-aitchison-ra/KAF-2zXcsFtqqg,https://lh3.googleusercontent.com/ci/AL18g_TzE81skbmlZ1kKH2Ym2fP9HGh4wBDaF3IoZ-RI-x8FlJjy1ItudrNApYZTdhr4Pc26REc14Ks,og:image,ok,
5872.jpg,https://artsandculture.google.com/asset/summer-near-beaupre/FgEMwwmeciNq5w,https://lh3.googleusercontent.com/ci/AL18g_SGHlmhGMQlTaCjmMzO251gvi6YU1BE7gxFbrn1FhrH13SLyfasyYeqX8yw29_PLDc2S58s4Ao,og:image,ok,
10438.jpg,https://artsandculture.google.com/asset/a-cosey-corner-frank-millet/9QHd45QPmlj0dA,https://lh3.googleusercontent.com/ci/AL18g_T-_IjyI9rfC_uUoVfNKQEUp44_W7t7emmmD31TA3TMt31ikh1TH0UtxCKoh3Xm33S4UGQC,og:image,ok,
3186.jpg,https://artsandculture.google.com/asset/advertising-suits-marie-claire-maciej-bernhardt/LwFS5v4k02sXOw,https://lh3.googleusercontent.com/ci/AL18g_STbW0t4jd50ARjYSEYM6UP2t8b_aBORzfza7sfX1oRUvD3v_sKQ0whkfeCvijm_dBzVfjAZg,og:image,ok,
8567.jpg,https://artsandculture.google.com/asset/portrait-of-prof-cheryl-de-la-rey-cyril-coetzee/mgHQZnDgB-tqDA,https://lh3.googleusercontent.com/ci/AL18g_Qrj2i9ydNv9_aquNtUZu6uMkSEOdOH13Qe5XXxdp8-a2RxjJ57AegKzUeEWlXDMdXDgtymWgU,og:image,ok,
12493.jpg,https://artsandculture.google.com/asset/the-ferry-e-phillips-fox/0gGZvkxTRCvFtQ,https://lh3.googleusercontent.com/ci/AL18g_TqWbQD3XCwY-lrFK1gjGZjzNFEjQOaXwpr2oebVDqhA3VPvjAHaVZpVO7AzIYwdW-Men_NmQ,og:image,ok,
9793.jpg,https://artsandculture.google.com/asset/river-landscape-with-riders-aelbert-cuyp/uwENHUlQVUSuhw,https://lh3.googleusercontent.com/ci/AL18g_RQQdsvm2tWcEyeOX_NNONvGzZ4BXIhhFEUhbL_bvkF_l3XukeaJWuBUvYq43Eknm2QdVUBuX8,og:image,ok,
5141.jpg,https://artsandculture.google.com/asset/fairytale-egl%C4%97-gineityt%C4%97/bQFYeWwATRY7aw,https://lh3.googleusercontent.com/ci/AL18g_TQdc93-emLv8aofNABIIE_SnlNWnB1Iu8cP-GRhXHCFYUacdKbgdc1jXAv2DGZwbTIn0scmA,og:image,ok,
1969.jpg,https://artsandculture.google.com/asset/buste-paul-klee/5AH_pnWzt6oP5Q,https://lh3.googleusercontent.com/ci/AL18g_T_6nOGvkyGY7VWMCGP-HEE4FNt6dzmo8AkQJZ_llYGDinSqshPZc4lSmCTcnFVKr0F3l8wGg,og:image,ok,
15481.jpg,https://artsandculture.google.com/asset/maria-magdalena-s-dream-goshka-datsov-1894-1917/NQHZRSHJ2kEUNQ,https://lh3.googleusercontent.com/ci/AL18g_RthMyikIc7hzbixRf5Dk29L2I-knFdg3MsU5QHXh1dEIYIUCEXtBSqYtjsxZYnNNRwTrktZA,og:image,ok,
6455.jpg,https://artsandculture.google.com/asset/petes-shanty-frederic-remington/dQFpSuXCHFIpvg,https://lh3.googleusercontent.com/ci/AL18g_RDccqeJozG16-rOqGpjymMjDGXkBU7xFSWBda7YZcDiwziDLYOL1BfFVBehivOu8WNwn59F7tu,og:image,ok,
