filename,page
8656.jpg,https://artsandculture.google.com/asset/induced-epidemic-ashutosh-bhardwaj/6QHRp2ngn6QOXw
8562.jpg,https://artsandculture.google.com/asset/between-red-080-lee-seahyun-and-%EC%9D%B4%EC%84%B8%ED%98%84/mgHHsoqgJk8zOQ
2294.jpg,https://artsandculture.google.com/asset/frostbitten-wood-and-field-artist-john-francis-murphy/oAEpO-Jqq_I6Cw
4862.jpg,https://artsandculture.google.com/asset/the-suburban-abel-garc%C3%ADa/SQEkChB0Q3oLjQ
14885.jpg,https://artsandculture.google.com/asset/3-decembre-1966-pierre-soulages/-gFX3Jn8C51CYA
7311.jpg,https://artsandculture.google.com/asset/idle-hours/wQEujoDzszkgGw
891.jpg,https://artsandculture.google.com/asset/mural-study-robert-frederick-blum-american-b-1857-d-1903/fQHiNe1FhZ9PfQ
846.jpg,https://artsandculture.google.com/asset/rhodiola-rosea-in-mi-bemolle-vania-elettra-tam/5gGh034MYJlf8Q
13192.jpg,https://artsandculture.google.com/asset/sir-william-butts-m-d-hans-holbein-the-younger/UAFS-0a1JEKHUg
4865.jpg,https://artsandculture.google.com/asset/enlevo-de-miss-europa-skapinakis-nikias/jQE1LZuT1D36Ew
5769.jpg,https://artsandculture.google.com/asset/autumn-sussex-spencer-gore/fwF0J0nxCvEhUA
5744.jpg,https://artsandculture.google.com/asset/john-f-kennedy-elaine-de-kooning/XQF-K0o7uDLA-g
5153.jpg,https://artsandculture.google.com/asset/landscape-by-the-river-vah-with-cows-eugen-jettel/xQFTguVKCMs0KA
7529.jpg,https://artsandculture.google.com/asset/portrait-of-andrew-carnegie-albert-francis-king/fgEeT0NXW6pHeg
9886.jpg,https://artsandculture.google.com/asset/johann-joachim-winckelmann-1717%E2%80%931768-anton-raphael-mengs/ZQEkKIsi2CH3qw
10903.jpg,https://artsandculture.google.com/asset/landscape-with-the-flight-to-egypt-cornelis-metsys/HQFbhmodEgWdwg
15065.jpg,https://artsandculture.google.com/asset/portrait-of-a-woman-jan-van-ravesteyn/wQG9dcQkKC4ZTw
9756.jpg,https://artsandculture.google.com/asset/femenine-figure-juan-luna-novicio/fAEa2fGmJnWRxg
11404.jpg,https://artsandculture.google.com/asset/portrait-of-mrs-morse-and-two-children-samuel-f-b-morse/fAHz9JFz5b6tdA
11884.jpg,https://artsandculture.google.com/asset/the-hesitation-of-orestes-arthur-b-davies/ywF43qhfH2hhwg
8496.jpg,https://artsandculture.google.com/asset/fernando-caicedo-y-fl%C3%B3rez-ricardo-acevedo-bernal/XAHlgKX2qhDEeg
9909.jpg,https://artsandculture.google.com/asset/capture-of-the-city-and-citadel-of-gand-in-six-days-charles-le-brun/4gFMdWVWCqZfhg
1430.jpg,https://artsandculture.google.com/asset/bandi-balaiah-naidu-c-raja-raja-varma/xwHmmN-2IfuyAg
7389.jpg,https://artsandculture.google.com/asset/view-from-bidston-hill-william-davis/rwEWZjfwa3vI8w
10662.jpg,https://artsandculture.google.com/asset/the-return-from-war-mars-disarmed-by-venus-peter-paul-rubens-and-jan-brueghel-the-elder/JwGEkfavTuicrA
8132.jpg,https://artsandculture.google.com/asset/screen-of-moral-lessons-and-countries-autor%C3%ADa-desconocida/mQEFULtPsea62w
8278.jpg,https://artsandculture.google.com/asset/virgin-and-child-hans-memling-netherlandish-1494/JwEjwfhuT_1doQ
13734.jpg,https://artsandculture.google.com/asset/gamepiece-with-a-dead-heron-falconer-s-bag-jan-weenix/AgGVhTCJCzBSHQ
13647.jpg,https://artsandculture.google.com/asset/maharani-chimnabai-ii-raja-ravi-varma/5gF18gVU_d9Siw
1437.jpg,https://artsandculture.google.com/asset/the-harvest-dance-joseph-henry-sharp-american-b-1859-d-1953/owHdW0EagNQRAg
463.jpg,https://artsandculture.google.com/asset/sinapsis-fernando-garrido/NAEarxLcqiuShQ
1900.jpg,https://artsandculture.google.com/asset/tibet-nepal-and-northern-hindustan/3QGmmMo5XbCciA
10240.jpg,https://artsandculture.google.com/asset/saint-john-the-baptist-in-the-wilderness-jos%C3%A9-leonardo/MwG5Nk69azh4gQ
